num;code;url;status_code;launch_date;launch_vehicle;launch_site;
118;2019074BK;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BK;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
119;2019074BL;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BL;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
120;2019074BM;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BM;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
121;2020001AS;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AS;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
122;2020001AT;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AT;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
123;2020001AU;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AU;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
124;2020-001W;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-001W;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
125;2020-001X;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-001X;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
126;2020-001A;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-001A;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
127;2020001AV;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AV;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
128;2020001AW;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AW;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
129;2020001AX;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AX;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
130;2020001AY;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AY;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
131;2020-001Y;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-001Y;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
132;2020-001Z;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-001Z;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
133;2020001AZ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AZ;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
134;2020001BA;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BA;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
135;2020001AA;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AA;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
136;2020001AB;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AB;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
137;2020-001B;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-001B;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
138;2020001BB;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BB;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
139;2020001BC;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BC;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
140;2020001BD;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BD;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
141;2020001BE;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BE;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
142;2020001BF;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BF;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
143;2020001BG;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BG;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
144;2020001AC;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AC;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
145;2020001BH;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BH;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
146;2020001BJ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001BJ;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
147;2020001AD;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020001AD;200;2020-01-07;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
